;Zummi;Gruffi;Grammi;Tummi;Sunni;Cubbi;Sir Thornberry;Gusto;Chummi;Sir Gallant
484;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
485;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział
486;Widział;Nie Widział;Widział;Nie Widział;Widział;nie widzial;Nie Widział;Widział;Nie Widział;Nie Widział
487;Widział;Nie Widział;Nie Widział;nie;Widział;Nie Widział;nie widzial;Widział;Widział;Nie Widział
488;Nie Widział;Nie Widział;Widzial;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział
489;Widział;Widział;Widział;Nie Widział;nie widzial;Widział;Nie Widział;Widział;Nie Widział;Widział
490;Nie Widział;Widział;Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział
491;Widział;Widzial;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widzi al;Nie Widział;Nie Widział
492;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;tak;Nie Widział;Nie Widział;Nie Widział
493;Widział;Widział;Widzial;Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial;tak;Nie Widział
494;Widział;Widział;Nie Widział;Nie Widział;nan;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
495;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział
496;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widzial;Nie Widział;Nie Widział;Nie Widział
497;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Widzial;Nie Widział;Nie Widział;Widział
498;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
499;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
500;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;nie;Nie Widział
501;Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział;Widział;Widział
502;Widział;Widział;Widział;Widzi al;Widzial;Nie Widział;Nie Widział;Widział;Widział;Widział
503;nie;Nie Widział;Widział;Nie Widział;Widział;Widzi al;Widział;Widział;Widział;Nie Widział
504;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;nie widzial
505;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;tak
506;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;nie widzial
507;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
508;Nie Widział;Widział;nan;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział
509;Widział;Widział;Widzial;Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział
510;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Widział
511;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział
512;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;tak;Nie Widział;Nie Widział;Widział
513;Widział;Nie Widział;Widzi al;Widział;Nie Widział;Nie Widział;Widział;Widzi al;Widział;Widział
514;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
515;Nie Widział;Widział;Widział;Nie Widział;Widzi al;Widział;Widział;Widział;Widział;Widział
516;nie;Widział;Widzial;Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział
517;Nie Widział;Nie Widział;Nie Widział;nie widzial;Widział;Widział;tak;Widział;tak;Nie Widział
518;Widzial;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
519;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;tak;Widział
520;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
521;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział
522;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
523;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;tak;Widział;Nie Widział;Nie Widział
524;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział
525;Widzial;nie widzial;Nie Widział;Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział;Nie Widział;Nie Widział
526;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;nan;Nie Widział;Widział;Nie Widział
527;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział
528;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział
529;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;nie;Widział;Widział;Widział
530;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widzial;Widział
531;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział
532;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;tak;Widział;Nie Widział;Widział
533;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
534;Nie Widział;Widzial;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
535;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
536;Widział;Nie Widział;Widział;Widział;Widział;Widział;nan;Widział;Widział;Widział
537;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;nie
538;Nie Widział;nan;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
539;Nie Widział;Widział;Widzial;Widział;Nie Widział;Nie Widział;Widzial;Widział;Widział;nie widzial
540;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
541;Widział;Widział;Nie Widział;Nie Widział;Widział;tak;Nie Widział;Widział;Nie Widział;Widział
542;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział;tak;Widział
543;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;nie widzial;Nie Widział;Widział;Widział
544;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;nan;Widział;Widział;Widział
545;Widział;Nie Widział;nie widzial;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
546;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
547;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widzial;Widział;Widział;Nie Widział;Widział
548;Widzi al;Nie Widział;Nie Widział;Nie Widział;nan;Nie Widział;Nie Widział;Widział;Widział;Widział
549;Nie Widział;Nie Widział;Nie Widział;Widzi al;nie;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
550;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Widzi al;Widział;Nie Widział
551;Nie Widział;Nie Widział;Nie Widział;Widział;nie;Widział;nie widzial;Widział;nan;Nie Widział
552;Nie Widział;nan;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;nan
553;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widzi al;tak;Widzial;Widział;Nie Widział
554;Widział;Nie Widział;Widzial;tak;Widział;Nie Widział;Nie Widział;Nie Widział;Widzial;Nie Widział
555;Nie Widział;Widział;Widział;Nie Widział;Widzial;Widział;Nie Widział;Widział;Nie Widział;Widział
556;tak;Nie Widział;tak;nie widzial;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział
557;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widzial;Nie Widział;Nie Widział;Nie Widział;Nie Widział
558;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widzi al;Nie Widział;Nie Widział;Nie Widział
559;Widzial;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
560;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział
561;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
562;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział
563;Nie Widział;Widzi al;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
564;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
565;Nie Widział;Nie Widział;Widział;Widział;Widział;Widzial;Widział;Nie Widział;Widział;Widział
566;Nie Widział;Widział;Widzial;Widział;Widzial;Widział;Widział;Widział;nie widzial;Widział
567;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
568;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial
569;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widzial;tak
570;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widzi al;Widział;Widział
571;Widział;Nie Widział;nan;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;nie widzial;Nie Widział
572;Nie Widział;Nie Widział;Nie Widział;Widział;nan;Widział;Nie Widział;Widział;Nie Widział;Widział
573;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział
574;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
575;Nie Widział;Nie Widział;Widział;Nie Widział;nie widzial;Widział;Nie Widział;Widział;Nie Widział;Widział
576;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
577;nie widzial;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział
578;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
579;Nie Widział;nie widzial;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
580;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
581;Nie Widział;Widział;Nie Widział;Widział;Widzial;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
582;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
583;Nie Widział;Widział;Widział;Widzial;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział
584;Nie Widział;Widział;Nie Widział;Widział;Widzi al;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
585;Nie Widział;nie widzial;Nie Widział;Nie Widział;Nie Widział;tak;Nie Widział;tak;Nie Widział;Nie Widział
586;Nie Widział;Widział;Widzi al;Nie Widział;Widzial;Nie Widział;Widział;Widział;Widział;Nie Widział
587;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Widzial
588;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;nie;Nie Widział;Nie Widział
589;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
590;Nie Widział;Widział;nie;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział
591;Nie Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział
592;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział
593;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;tak;Nie Widział;Widział;Nie Widział;Nie Widział
594;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;nan;Nie Widział;Widział
595;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;nie widzial;Widział
596;nie widzial;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział;Widział
597;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;nie;Widział;Widział;Nie Widział
598;Nie Widział;nie widzial;Nie Widział;nan;nan;Nie Widział;Widział;Widział;Widzial;Nie Widział
599;nan;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
600;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widzial;Nie Widział;Widział;Widział;Widział
601;Nie Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział
602;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział
603;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział;Widzial
604;Widział;Widział;nan;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział
605;Nie Widział;Widział;Widział;tak;nie widzial;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
606;Nie Widział;Nie Widział;Nie Widział;nie widzial;Widział;Widział;Widzial;Widział;Widział;Nie Widział
607;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;tak;Widział;Widzial
608;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;nie widzial;Widział
609;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
610;nie;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;nie widzial;Nie Widział
611;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
612;Nie Widział;Widział;Nie Widział;Widział;tak;Widzi al;Widział;Nie Widział;Nie Widział;Widział
613;Nie Widział;Widział;nan;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
614;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;tak;Widział;Nie Widział;Widział;Nie Widział
615;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
616;Widział;nie widzial;Nie Widział;tak;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział
617;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;nie widzial;Nie Widział;Nie Widział;Nie Widział;Nie Widział
618;Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widzial
619;Nie Widział;Widział;Widział;Nie Widział;nie widzial;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
620;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział
621;Widzi al;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
622;Nie Widział;Widzial;Widział;nan;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
623;nan;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział
624;nie widzial;Nie Widział;Nie Widział;Nie Widział;Widzi al;Widział;Nie Widział;Nie Widział;Widzial;Nie Widział
625;Nie Widział;Nie Widział;Widzial;nie widzial;Widzi al;Nie Widział;Widzi al;Widział;Nie Widział;Widział
626;Nie Widział;Widzial;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
627;Nie Widział;Widział;Nie Widział;Widział;nie widzial;Widział;Widział;Nie Widział;Nie Widział;Widział
628;nan;nie widzial;Nie Widział;Widział;Widział;nie;nan;Widział;Widział;Nie Widział
629;nie widzial;Widział;Widzi al;Nie Widział;Widział;Widział;tak;Widział;Nie Widział;Widział
630;tak;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział
631;Widzi al;Nie Widział;Nie Widział;Widział;Nie Widział;nie;Widział;Nie Widział;Widział;Nie Widział
632;Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział;nie widzial;Nie Widział;Widział;Widział;Widział
633;Widział;nan;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział
634;Nie Widział;Widział;nie widzial;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział
635;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
636;Widział;Widział;Widział;Widzial;Widział;Nie Widział;Widział;Widzial;Nie Widział;Nie Widział
637;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
638;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział
639;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
640;Widział;Widział;Nie Widział;Nie Widział;nie widzial;Widział;Nie Widział;Widział;nan;Nie Widział
641;nan;Nie Widział;Nie Widział;Widział;Widzial;Widział;Widział;Widział;Nie Widział;Widział
642;Widział;Widział;Nie Widział;Nie Widział;Widzi al;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial
643;Widział;Nie Widział;Widział;Nie Widział;Widział;nie widzial;Nie Widział;Nie Widział;Nie Widział;Nie Widział
644;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widzial;Nie Widział;Widział;Widział
645;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział
646;Widział;Nie Widział;tak;Nie Widział;Widzial;Widział;Widział;Widział;Nie Widział;Widział
647;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział
648;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
649;Widział;Nie Widział;Widział;Nie Widział;Widział;Widzial;Widział;Widzial;Nie Widział;Nie Widział
650;tak;Nie Widział;Nie Widział;Nie Widział;Widzial;nan;Widział;Nie Widział;Nie Widział;Widzi al
651;Nie Widział;Widział;Widział;Widział;nan;Nie Widział;nie;Nie Widział;Widział;Nie Widział
652;Widział;nan;Widział;nie widzial;nie widzial;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
653;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
654;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
655;Nie Widział;Widział;Widział;Widział;nan;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
656;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widzial
657;nie;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział
658;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widzial;Widział;Nie Widział
659;Widział;Nie Widział;Nie Widział;Widzial;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
660;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
661;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział
662;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widzial;Nie Widział;nie widzial;Widział
663;nie widzial;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział
664;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widzial
665;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
666;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nie;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
667;Widział;nan;Widział;Nie Widział;Nie Widział;Widzi al;Nie Widział;Nie Widział;tak;Nie Widział
668;nie;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
669;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
670;Widział;Nie Widział;Widział;Nie Widział;Widzial;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
671;Widział;Nie Widział;Widział;Widział;Widzi al;Widział;Widzial;Widział;Widział;Widział
672;Nie Widział;Widział;nan;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
673;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział
674;Widział;Widział;Widział;Nie Widział;Widzial;Nie Widział;Nie Widział;Nie Widział;Widział;Widział
675;Widział;Widział;Widzial;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział
676;Nie Widział;nie widzial;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział
677;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widzial;Nie Widział;Widział;Nie Widział
678;Widział;Widział;Nie Widział;tak;Widział;Nie Widział;Nie Widział;Widzial;Nie Widział;Widzial
679;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Widzial;Nie Widział;Widział;Nie Widział
680;nan;Nie Widział;Nie Widział;tak;nie widzial;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
681;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
682;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;tak
683;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział
684;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;tak;Nie Widział;Widzial;Widział
685;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
686;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział;Widział;Widział;Nie Widział
687;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział
688;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
689;Nie Widział;Widział;Widział;Widział;Widział;nan;Nie Widział;Widział;Nie Widział;Widział
690;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
691;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;tak;Nie Widział;Widział;Nie Widział
692;Nie Widział;Nie Widział;Widział;Nie Widział;Widzial;Nie Widział;Nie Widział;Widział;Nie Widział;Widział
693;Nie Widział;Widział;nie widzial;Widzi al;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
694;Widział;Nie Widział;Widzial;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
695;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;nan
696;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;nie
697;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;tak;Nie Widział;Widział
698;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
699;Nie Widział;tak;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
700;Widział;nan;nan;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział
701;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
702;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział
703;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
704;Widzial;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
705;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
706;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
707;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;nie widzial;Nie Widział
708;Widział;Nie Widział;nie widzial;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział
709;Widział;Widział;Widział;Widzial;Widział;Nie Widział;Nie Widział;nie widzial;Widział;Nie Widział
710;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział
711;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Widzi al;Nie Widział
712;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział
713;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział;Widział;nie widzial;Nie Widział;Nie Widział
714;Nie Widział;Nie Widział;nie;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
715;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
716;Nie Widział;Widział;Nie Widział;Widzi al;Widział;Widział;Nie Widział;Widział;Widział;Widział
717;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział
718;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
719;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
720;Nie Widział;Nie Widział;nan;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział
721;Nie Widział;Widział;Widział;Nie Widział;Widzial;Nie Widział;Widział;Nie Widział;Widział;nie
722;nie widzial;Widział;nan;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
723;Nie Widział;Widział;tak;Nie Widział;Nie Widział;Nie Widział;nie widzial;Widział;nan;Nie Widział
724;Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział;Widział;Widział;nie widzial
